Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
1.0,2.0,6.0,9 a 15 años,,,642857143.0,2.0,,,675000000,105.0,0.0
1.0,1.0,5.0,,3,167000.0,4700000.0,2.0,,,235000000,50.0,0.0
1.0,1.0,4.0,,,,6187500.0,1.0,Excelente,,198000000,32.0,0.0
2.0,1.0,3.0,9 a 15 años,5,74000.0,271794872.0,,Excelente,,106000000,39.0,0.0
2.0,2.0,5.0,9 a 15 años,Otro,342200.0,594936709.0,1.0,,,470000000,79.0,0.0
2.0,2.0,3.0,9 a 15 años,9,178800.0,432815267.0,,Excelente,,220000000,5083.0,51.0
3.0,3.0,5.0,menor a 1 año,8,320000.0,569105691.0,1.0,Excelente,,700000000,123.0,123.0
3.0,2.0,4.0,1 a 8 años,1,261000.0,426829268.0,1.0,Bueno,,350000000,82.0,82.0
2.0,2.0,6.0,1 a 8 años,Otro,,485714286.0,1.0,,,340000000,70.0,0.0
3.0,3.0,6.0,16 a 30 años,,592800.0,401709402.0,2.0,,,470000000,117.0,0.0
20.0,2.0,4.0,16 a 30 años,5,228200.0,358208955.0,1.0,Bueno,,240000000,67.0,67.0
3.0,3.0,5.0,,,576000.0,491803279.0,,,,600000000,122.0,0.0
3.0,2.0,4.0,1 a 8 años,Otro,183000.0,343283582.0,1.0,Excelente,,230000000,67.0,67.0
2.0,1.0,4.0,9 a 15 años,,150000.0,471153846.0,,Bueno,,245000000,52.0,52.0
4.0,3.0,5.0,más de 30 años,2,,363636364.0,,,,360000000,99.0,0.0
2.0,3.0,5.0,,10,330000.0,741176471.0,1.0,Bueno,,630000000,85.0,85.0
2.0,1.0,4.0,16 a 30 años,4,178600.0,5100000.0,,Excelente,,255000000,50.0,50.0
1.0,1.0,6.0,9 a 15 años,5,442400.0,7500000.0,,,,300000000,40.0,0.0
3.0,4.0,6.0,1 a 8 años,9,820000.0,544776119.0,2.0,Excelente,,730000000,134.0,0.0
1.0,1.0,4.0,,3,,6343750.0,1.0,Excelente,,203000000,32.0,0.0
3.0,2.0,5.0,1 a 8 años,Otro,400000.0,490196078.0,1.0,Excelente,,500000000,102.0,102.0
4.0,5.0,6.0,9 a 15 años,3,750000.0,573333333.0,2.0,,,860000000,150.0,150.0
3.0,3.0,5.0,9 a 15 años,3,500000.0,491071429.0,1.0,Bueno,,550000000,112.0,112.0
3.0,3.0,4.0,más de 30 años,7,590000.0,226130653.0,2.0,Excelente,,450000000,199.0,0.0
2.0,2.0,4.0,,,160000.0,567307692.0,,,,295000000,52.0,52.0
3.0,2.0,5.0,1 a 8 años,5,100000.0,494117647.0,1.0,Excelente,,420000000,85.0,0.0
5.0,6.0,6.0,16 a 30 años,16,2300000.0,4784689.0,5.0,Bueno,,3000000000,627.0,627.0
3.0,2.0,4.0,,,,345454545.0,,,,380000000,110.0,0.0
2.0,2.0,4.0,16 a 30 años,Otro,165000.0,490740741.0,1.0,Excelente,,265000000,54.0,0.0
